alert_id,timestamp,alert_source,alert_type,severity,description,endpoint_id,endpoint_type,operating_system,user_role,department,endpoint_risk_score,user_risk_score,source_ip,destination_ip,country,process_name,parent_process,command_line,authentication_result,previous_alert_count,previous_incident_count,similar_alert_count,historical_false_positive_rate,historical_incident_rate,analyst_disposition,confirmed_incident,incident_type,investigation_reason,ground_truth,novelty_test_flag
A00011,2026-01-02 03:59:13,Firewall,Abnormal Network Traffic,Medium,"Unusual protocol usage detected on Developer Workstation on PC-0116, during off-hours.",PC-0116,Developer Workstation,Ubuntu 22.04,Finance User,Finance,34,34,10.148.137.130,10.209.31.144,United States,Unknown,outlook.exe,"wscript.exe (routine execution, no notable arguments)",Not Applicable,0,0,5,0.62,0.4,False Positive,No,Expected User Behavior,Legitimate software update,False Positive,No
A00012,2026-01-02 06:52:40,IAM,Brute Force,Medium,"Repeated authentication attempts against RDP endpoint detected on PC-0144, in the IT environment. — pattern not previously observed for this endpoint/alert-type combination",PC-0144,Developer Workstation,Ubuntu 24.04,DevOps Engineer,IT,33,34,192.168.85.138,10.56.168.34,United States,svchost.exe,explorer.exe,"svchost.exe (routine execution, no notable arguments)",Multiple Failed,0,0,3,0.21,0.76,False Positive,No,Approved Script,Recurring vendor maintenance window,False Positive,Yes
A00013,2026-01-02 10:21:19,EDR,Suspicious PowerShell,Low,"PowerShell process launched with bypass parameters from cmd.exe on PC-0030, correlated with parent process cmd.exe.",PC-0030,Employee Laptop,Windows 10,IT Support,IT,18,27,10.117.148.206,10.191.169.106,Singapore,powershell.exe,cmd.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,0,0,2,0.8,0.25,False Positive,No,Expected User Behavior,IT-managed patch deployment triggered the rule,False Positive,No
A00014,2026-01-02 10:44:34,EDR,Suspicious PowerShell,Medium,"PowerShell process launched with hidden-window parameters from cmd.exe on PC-0150, involving process powershell.exe.",PC-0150,Web Server,Ubuntu 22.04,IT Support,IT,67,38,10.193.205.34,192.168.138.221,India,powershell.exe,cmd.exe,"powershell.exe -NoProfile -Command ""Get-Service""",Not Applicable,0,0,0,0.69,0.32,False Positive,No,Scheduled Task,Whitelisted internal tool flagged by generic signature,False Positive,No
A00015,2026-01-02 11:32:46,IAM,Privilege Escalation,Medium,"Local privilege escalation attempt flagged on Employee Laptop on PC-0111, during business hours.",PC-0111,Employee Laptop,Windows 11,Finance User,Finance,8,25,10.51.135.249,192.168.241.97,United States,cmd.exe,powershell.exe,cmd.exe /c whoami /priv,Success,0,0,4,0.31,0.65,True Incident,Yes,Privilege Escalation,Persistence mechanism confirmed on host,True Incident,No
A00016,2026-01-02 12:15:51,Cloud Security,Suspicious Login,Medium,"Login flagged due to unusual time-of-day pattern on PC-0064, involving process mshta.exe.",PC-0064,Admin Workstation,Windows 11,System Administrator,IT,50,57,192.168.12.102,192.168.228.95,Unknown,mshta.exe,winword.exe,"mshta.exe (routine execution, no notable arguments)",MFA Success,0,0,1,0.7,0.35,False Positive,No,Security Tool Noise,Scheduled backup generated the alert,False Positive,No
A00017,2026-01-02 13:26:36,EDR,Unusual Process Execution,High,"Process execution chain deviates from historical baseline on PC-0179, in the Security environment.",PC-0179,Developer Workstation,Windows 11,Security Analyst,Security,30,19,10.119.30.197,10.210.159.190,United Kingdom,rundll32.exe,explorer.exe,"rundll32.exe shell32.dll,Control_RunDLL",Not Applicable,0,0,2,0.64,0.35,False Positive,No,Scheduled Task,Known security scanner triggered the rule,False Positive,No
A00018,2026-01-02 19:44:12,Email Security,Phishing Email,Medium,"Email containing suspicious link/attachment delivered to Security mailbox on PC-0160, on host running Windows 10.",PC-0160,Employee Laptop,Windows 10,Security Analyst,Security,23,16,10.41.53.109,192.168.192.33,United States,outlook.exe,winword.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,1,1,3,0.39,0.62,False Positive,No,Benign Activity,Authorized administrative script,False Positive,No
A00019,2026-01-03 00:26:06,SIEM,Brute Force,Medium,"Automated login attempts observed from 10.151.60.112 on PC-0027, on host running Ubuntu 22.04. — pattern not previously observed for this endpoint/alert-type combination",PC-0027,Cloud VM,Ubuntu 22.04,Developer,Engineering,40,32,10.151.60.112,192.168.138.134,United States,wscript.exe,cmd.exe,"wscript.exe (routine execution, no notable arguments)",Failed,0,0,1,0.76,0.23,False Positive,No,Security Tool Noise,Expected login behavior,False Positive,Yes
A00020,2026-01-03 07:20:55,IAM,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0030, correlated with parent process cmd.exe.",PC-0030,Employee Laptop,Windows 10,Employee,Finance,18,25,192.168.5.82,10.76.240.18,United States,svchost.exe,cmd.exe,"svchost.exe (routine execution, no notable arguments)",Success,1,0,7,0.65,0.29,False Positive,No,Expected User Behavior,Expected login behavior,False Positive,No
A00021,2026-01-03 07:55:20,EDR,Suspicious PowerShell,High,"Encoded PowerShell command observed originating from explorer.exe on PC-0021, involving process powershell.exe.",PC-0021,Employee Laptop,Windows 10,HR User,HR,28,25,192.168.176.161,10.98.140.73,United Kingdom,powershell.exe,explorer.exe,powershell.exe -ExecutionPolicy Bypass -File deploy.ps1,Not Applicable,0,0,6,0.81,0.25,False Positive,No,Security Tool Noise,Scheduled backup generated the alert,False Positive,No
A00022,2026-01-03 08:18:18,EDR,Suspicious PowerShell,Low,"PowerShell script execution flagged by EDR behavioral rule on PC-0116, associated with developer account.",PC-0116,Developer Workstation,Ubuntu 22.04,Developer,Engineering,34,34,192.168.196.85,192.168.141.248,Singapore,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,1,0,1,0.85,0.15,False Positive,No,Benign Activity,Whitelisted internal tool flagged by generic signature,False Positive,No
A00023,2026-01-03 08:45:09,IAM,Multiple Failed Logins,Low,"12 failed login attempts detected for account within 30 minutes on PC-0073, per IAM rule set.",PC-0073,Employee Laptop,Windows 10,DevOps Engineer,IT,19,44,192.168.225.109,192.168.167.78,India,svchost.exe,explorer.exe,"svchost.exe (routine execution, no notable arguments)",Failed,0,0,2,0.72,0.27,False Positive,No,Expected User Behavior,Expected login behavior,False Positive,No
A00024,2026-01-03 09:12:35,IDS,Port Scan,Medium,"Sequential connection attempts across multiple ports detected from 192.168.226.126 on PC-0103, on host running Red Hat Enterprise Linux.",PC-0103,Web Server,Red Hat Enterprise Linux,Database Administrator,Engineering,62,45,192.168.226.126,Unknown,Germany,chrome.exe,winword.exe,"chrome.exe (routine execution, no notable arguments)",Not Applicable,0,0,2,0.81,0.15,False Positive,No,Expected User Behavior,Expected login behavior,False Positive,No
A00025,2026-01-03 09:25:32,Antivirus,Malware Detection,Medium,"Endpoint protection flagged a known malware family on host on PC-0040, correlated with parent process svchost.exe.",PC-0040,Employee Laptop,Windows 11,Finance User,Finance,21,35,192.168.5.51,10.99.2.151,India,unknown_binary.exe,svchost.exe,[quarantined-file-hash].exe (signature match: generic trojan),Not Applicable,0,0,4,0.38,0.64,True Incident,Yes,Malware,Malware confirmed by endpoint investigation,True Incident,No
A00026,2026-01-03 11:26:35,IDS,Abnormal Network Traffic,High,"Unusual protocol usage detected on Web Server on PC-0051, involving process cmd.exe.",PC-0051,Web Server,Ubuntu 22.04,DevOps Engineer,Engineering,67,48,192.168.15.221,192.168.241.156,United Kingdom,cmd.exe,winword.exe,"cmd.exe (routine execution, no notable arguments)",Not Applicable,0,0,1,0.64,0.36,False Positive,No,Security Tool Noise,Scheduled backup generated the alert,False Positive,No
A00027,2026-01-03 11:30:37,Antivirus,Malware Detection,Medium,"Antivirus signature match on file executed from Temp on PC-0018, correlated with parent process explorer.exe.",PC-0018,Database Server,Windows Server 2022,Database Administrator,IT,81,34,10.227.31.81,10.142.99.168,Singapore,unknown_binary.exe,explorer.exe,[quarantined-file-hash].exe (signature match: generic trojan),Not Applicable,1,1,3,0.42,0.61,True Incident,Yes,Malware,Command-and-control beaconing confirmed,True Incident,No
A00028,2026-01-03 11:40:24,IDS,Suspicious DNS Query,High,"DNS query to newly-observed domain from Employee Laptop on PC-0181, correlated with parent process outlook.exe.",PC-0181,Employee Laptop,Windows 10,Developer,Engineering,23,28,10.88.227.12,10.101.209.45,India,outlook.exe,outlook.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,0,0,2,0.83,0.25,False Positive,No,Approved Script,Developer running approved deployment script,False Positive,No
A00029,2026-01-03 13:09:00,EDR,Unauthorized Software,Medium,"Software inventory scan flagged unlisted application on PC-0134, per EDR rule set.",PC-0134,Employee Laptop,Windows 10,Employee,Management,22,32,192.168.10.197,10.5.111.164,Unknown,setup_tool.exe,explorer.exe,setup_tool.exe /silent /approved,Not Applicable,1,0,1,0.84,0.18,False Positive,No,Approved Script,Scheduled backup generated the alert,False Positive,No
A00030,2026-01-03 14:22:30,IDS,Port Scan,Medium,"Network scanning behavior observed targeting internal subnet on PC-0165, in the IT environment.",PC-0165,Database Server,Windows Server 2022,System Administrator,IT,86,42,10.96.139.227,10.151.132.179,United Kingdom,cmd.exe,cmd.exe,"cmd.exe (routine execution, no notable arguments)",Not Applicable,2,0,2,0.89,0.07,False Positive,No,Approved Script,Recurring vendor maintenance window,False Positive,No
A00031,2026-01-03 16:29:20,IDS,Suspicious DNS Query,High,"High-entropy DNS query pattern suggestive of tunneling on PC-0185, in the Finance environment.",PC-0185,Cloud VM,Ubuntu 24.04,Finance User,Finance,48,25,192.168.107.180,10.147.106.88,United States,python.exe,outlook.exe,"python.exe (routine execution, no notable arguments)",Not Applicable,0,0,4,0.76,0.25,False Positive,No,Benign Activity,Developer running approved deployment script,False Positive,No
A00032,2026-01-03 16:33:04,IAM,Suspicious Login,High,"Login flagged due to unusual time-of-day pattern on PC-0010, in the Finance environment.",PC-0010,Employee Laptop,Windows 10,Finance User,Finance,23,27,10.17.165.180,10.183.4.41,United States,wscript.exe,outlook.exe,"wscript.exe (routine execution, no notable arguments)",MFA Failure,0,0,3,0.64,0.32,False Positive,No,Authorized Administration,IT-managed patch deployment triggered the rule,False Positive,No
A00033,2026-01-03 16:44:18,Cloud Security,Suspicious Login,Low,"Login from unfamiliar device/browser fingerprint on PC-0127, correlated with parent process services.exe.",PC-0127,Database Server,Windows Server 2022,System Administrator,IT,71,58,10.191.172.124,192.168.153.11,Singapore,mshta.exe,services.exe,"mshta.exe (routine execution, no notable arguments)",Failed,0,0,3,0.68,0.3,False Positive,No,Benign Activity,Scheduled backup generated the alert,False Positive,No
A00034,2026-01-04 00:50:06,IAM,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0106, associated with security analyst account.",PC-0106,Employee Laptop,Windows 11,Security Analyst,Security,22,22,203.72.177.118,10.235.0.169,India,chrome.exe,cmd.exe,chrome.exe (flagged by behavioral detection rule),MFA Failure,0,0,7,0.65,0.33,True Incident,Yes,Unauthorized Access,Command-and-control beaconing confirmed,True Incident,No
A00035,2026-01-04 07:03:43,EDR,Suspicious PowerShell,Low,"PowerShell process launched with hidden-window parameters from explorer.exe on PC-0043, during business hours.",PC-0043,Employee Laptop,Windows 10,Developer,Engineering,19,27,10.201.108.234,10.192.237.181,India,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-ChildItem C:\Logs""",Not Applicable,0,0,3,0.8,0.21,False Positive,No,Approved Script,Expected login behavior,False Positive,No
A00036,2026-01-04 10:45:12,Firewall,Brute Force,High,"Repeated authentication attempts against SSH service detected on PC-0165, involving process mshta.exe.",PC-0165,Database Server,Windows Server 2022,Security Analyst,Security,86,15,192.168.13.57,192.168.91.197,Russia,mshta.exe,outlook.exe,mshta.exe (flagged by behavioral detection rule),Multiple Failed,3,0,2,0.56,0.46,True Incident,Yes,Brute Force,Unauthorized login confirmed,True Incident,No
A00037,2026-01-04 13:14:47,Cloud Security,Suspicious Login,Low,"Login flagged due to unusual time-of-day pattern on PC-0176, during business hours.",PC-0176,Domain Controller,Windows Server 2022,Security Analyst,Security,88,18,10.145.159.100,192.168.246.9,United Kingdom,java.exe,winword.exe,"java.exe (routine execution, no notable arguments)",Failed,0,0,2,0.69,0.29,False Positive,No,Approved Script,Developer running approved deployment script,False Positive,No
A00038,2026-01-04 14:55:19,Firewall,Port Scan,Low,"Sequential connection attempts across multiple ports detected from 192.168.196.176 on PC-0128, correlated with parent process cmd.exe.",PC-0128,Developer Workstation,Ubuntu 24.04,Database Administrator,Engineering,28,54,192.168.196.176,10.248.205.109,United States,python.exe,cmd.exe,"python.exe (routine execution, no notable arguments)",Not Applicable,0,0,2,0.81,0.2,False Positive,No,Legitimate Software,IT-managed patch deployment triggered the rule,False Positive,No
A00039,2026-01-04 15:24:24,Antivirus,Malware Detection,Critical,"Endpoint protection flagged a known malware family on host on PC-0147, on host running Ubuntu 22.04.",PC-0147,Cloud VM,Ubuntu 22.04,Security Analyst,Security,40,23,10.40.76.2,10.132.101.132,United States,unknown_binary.exe,explorer.exe,[quarantined-file-hash].exe (signature match: generic trojan),Not Applicable,0,0,2,0.38,0.6,True Incident,Yes,Malware,Privilege escalation validated by IR team,True Incident,No
A00040,2026-01-05 02:00:00,Firewall,Port Scan,Medium,"Sequential connection attempts across multiple ports detected from 10.182.213.5 on PC-0098, involving process cmd.exe.",PC-0098,Domain Controller,Windows Server 2022,Finance User,Finance,84,34,10.182.213.5,10.152.18.153,United States,cmd.exe,explorer.exe,"cmd.exe (routine execution, no notable arguments)",Not Applicable,0,0,4,0.87,0.08,False Positive,No,Security Tool Noise,Developer running approved deployment script,False Positive,No
A00041,2026-01-05 04:41:59,SIEM,Multiple Failed Logins,Low,"12 failed login attempts detected for account within 5 minutes on PC-0157, during off-hours.",PC-0157,Cloud VM,Ubuntu 22.04,Security Analyst,Security,64,16,10.234.20.20,10.19.75.156,Germany,cmd.exe,winword.exe,"cmd.exe (routine execution, no notable arguments)",Failed,0,0,3,0.68,0.32,False Positive,No,Expected User Behavior,Authorized administrative script,False Positive,No
A00042,2026-01-05 05:37:03,IAM,Multiple Failed Logins,High,"Repeated authentication failures observed from 192.168.124.178 on PC-0018, in the Engineering environment.",PC-0018,Database Server,Windows Server 2022,Developer,Engineering,81,35,192.168.124.178,192.168.191.147,United Kingdom,mshta.exe,explorer.exe,"mshta.exe (routine execution, no notable arguments)",Failed,2,2,3,0.65,0.36,False Positive,No,Security Tool Noise,Authorized administrative script,False Positive,No
A00043,2026-01-05 07:12:54,SIEM,Unauthorized Software,Low,"Installation of non-approved application detected on Database Server on PC-0130, per SIEM rule set.",PC-0130,Database Server,Red Hat Enterprise Linux,Security Analyst,Security,75,16,192.168.66.71,10.162.49.57,India,setup_tool.exe,Unknown,setup_tool.exe /silent /approved,Not Applicable,0,0,0,0.66,0.3,False Positive,No,Scheduled Task,Whitelisted internal tool flagged by generic signature,False Positive,No
A00044,2026-01-05 08:33:55,Cloud Security,Impossible Travel,High,"Geographically inconsistent login pattern detected for user on PC-0198, involving process mshta.exe.",PC-0198,Cloud VM,Ubuntu 24.04,Employee,Sales,51,19,119.255.107.137,192.168.199.66,North Korea,mshta.exe,services.exe,mshta.exe (flagged by behavioral detection rule),MFA Success,0,0,1,0.35,0.65,True Incident,Yes,Credential Theft,Persistence mechanism confirmed on host,True Incident,No
A00045,2026-01-05 11:11:18,Firewall,Port Scan,Medium,"Network scanning behavior observed targeting internal subnet on PC-0102, involving process wscript.exe.",PC-0102,Cloud VM,Ubuntu 22.04,IT Support,IT,46,38,192.168.180.145,10.11.145.143,India,wscript.exe,explorer.exe,"wscript.exe (routine execution, no notable arguments)",Not Applicable,0,0,2,0.85,0.17,False Positive,No,Expected User Behavior,Known security scanner triggered the rule,False Positive,No
A00046,2026-01-05 12:26:06,EDR,Unusual Process Execution,Medium,"Process execution chain deviates from historical baseline on PC-0116, during business hours.",PC-0116,Developer Workstation,Ubuntu 22.04,Security Analyst,Security,34,12,10.111.214.231,192.168.163.198,United Kingdom,rundll32.exe,explorer.exe,"rundll32.exe shell32.dll,Control_RunDLL",Not Applicable,2,0,3,0.73,0.26,False Positive,No,Approved Script,IT-managed patch deployment triggered the rule,False Positive,No
A00047,2026-01-05 14:56:31,EDR,Unusual Process Execution,High,"Process execution chain deviates from historical baseline on PC-0185, associated with developer account.",PC-0185,Cloud VM,Ubuntu 24.04,Developer,Engineering,48,5,192.168.237.168,10.50.196.149,India,rundll32.exe,winword.exe,"rundll32.exe shell32.dll,Control_RunDLL",Not Applicable,1,0,0,0.58,0.39,False Positive,No,Security Tool Noise,Whitelisted internal tool flagged by generic signature,False Positive,No
A00048,2026-01-05 16:23:49,Cloud Security,Suspicious Login,Low,"Login from unfamiliar device/browser fingerprint on PC-0156, in the Engineering environment.",PC-0156,Employee Laptop,Windows 10,Developer,Engineering,15,16,192.168.46.244,10.199.98.218,India,python.exe,winword.exe,"python.exe (routine execution, no notable arguments)",Success,0,0,7,0.66,0.35,False Positive,No,Authorized Administration,Legitimate software update,False Positive,No
A00049,2026-01-06 03:34:18,EDR,Suspicious PowerShell,Low,"PowerShell process launched with bypass parameters from services.exe on PC-0133, per EDR rule set.",PC-0133,Web Server,Ubuntu 24.04,IT Support,IT,56,21,10.123.90.250,10.56.169.224,Germany,powershell.exe,services.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,0,0,2,0.79,0.18,False Positive,No,Scheduled Task,Approved remote administration,False Positive,No
A00050,2026-01-06 06:52:47,EDR,Credential Dumping,Critical,"Credential access technique flagged by EDR on PC-0116, involving process lsass_access.exe.",PC-0116,Developer Workstation,Ubuntu 22.04,Employee,Management,34,32,192.168.12.113,10.30.149.208,Germany,lsass_access.exe,powershell.exe,[redacted-tool] --dump-process lsass.exe,Success,3,0,3,0.29,0.67,True Incident,Yes,Credential Theft,Suspicious process chain confirmed,True Incident,No
A00051,2026-01-06 07:26:54,Email Security,Phishing Email,High,"Email security engine flagged a message with spoofed sender domain on PC-0160, in the Engineering environment.",PC-0160,Employee Laptop,Windows 10,Developer,Engineering,23,28,10.124.247.54,10.168.37.118,United States,chrome.exe,winword.exe,chrome.exe (flagged by behavioral detection rule),Not Applicable,2,1,2,0.44,0.57,True Incident,Yes,Phishing,Suspicious process chain confirmed,True Incident,No
A00052,2026-01-06 08:00:48,EDR,Unauthorized Software,Low,"Software inventory scan flagged unlisted application on PC-0066, associated with employee account.",PC-0066,Cloud VM,Ubuntu 24.04,Employee,Management,60,23,10.185.149.79,192.168.81.146,India,setup_tool.exe,explorer.exe,setup_tool.exe /silent /approved,Not Applicable,0,0,1,0.65,0.36,False Positive,No,Security Tool Noise,Legitimate software update,False Positive,No
A00053,2026-01-06 08:02:59,EDR,Ransomware Behavior,Critical,"Mass file modification consistent with ransomware activity on PC-0214, per EDR rule set.",PC-0214,Developer Workstation,Ubuntu 24.04,Employee,HR,37,21,10.186.207.123,192.168.87.249,India,encrypt_proc.exe,explorer.exe,[redacted-binary].exe (mass file rename + extension change observed),Not Applicable,0,0,3,0.2,0.83,True Incident,Yes,Ransomware,Persistence mechanism confirmed on host,True Incident,No
A00054,2026-01-06 09:48:09,IAM,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0077, in the Management environment.",PC-0077,Employee Laptop,Windows 10,Employee,Management,20,19,156.61.100.92,10.6.116.190,Belarus,java.exe,winword.exe,java.exe (flagged by behavioral detection rule),Success,0,0,8,0.64,0.37,True Incident,Yes,Unauthorized Access,Credential theft indicators observed,True Incident,No
A00055,2026-01-06 10:22:32,EDR,Unusual Process Execution,Medium,"Process execution chain deviates from historical baseline on PC-0003, per EDR rule set.",PC-0003,Employee Laptop,Windows 11,Employee,Sales,23,34,192.168.93.177,192.168.125.59,India,rundll32.exe,winword.exe,"rundll32.exe [redacted-dll],StartW",Not Applicable,0,0,2,0.67,0.35,True Incident,Yes,Malware,Unauthorized login confirmed,True Incident,No
A00056,2026-01-06 11:41:50,IAM,Suspicious Login,Low,"Login from unfamiliar device/browser fingerprint on PC-0218, correlated with parent process services.exe.",PC-0218,Web Server,Ubuntu 22.04,HR User,HR,63,25,192.168.163.203,192.168.100.123,United States,wscript.exe,services.exe,"wscript.exe (routine execution, no notable arguments)",MFA Success,0,0,0,0.66,0.33,False Positive,No,Expected User Behavior,Legitimate software update,False Positive,No
A00057,2026-01-06 11:50:34,EDR,Unauthorized Software,Medium,"Installation of non-approved application detected on Employee Laptop on PC-0006, in the Engineering environment.",PC-0006,Employee Laptop,Windows 11,Database Administrator,Engineering,18,45,192.168.233.1,10.208.138.127,United Kingdom,setup_tool.exe,explorer.exe,torrent_client_install.exe /silent,Not Applicable,0,0,3,0.65,0.38,True Incident,Yes,Malware,Ransomware behavior detected,True Incident,No
A00058,2026-01-06 12:18:59,IDS,Port Scan,Medium,"Network scanning behavior observed targeting internal subnet on PC-0003, associated with devops engineer account.",PC-0003,Employee Laptop,Windows 11,DevOps Engineer,IT,23,32,192.168.240.127,10.33.221.173,India,chrome.exe,services.exe,"chrome.exe (routine execution, no notable arguments)",Not Applicable,1,1,1,0.94,0.02,False Positive,No,Approved Script,Developer running approved deployment script,False Positive,No
A00059,2026-01-06 12:36:24,Email Security,Phishing Email,Low,"Email containing suspicious link/attachment delivered to Engineering mailbox on PC-0018, in the Engineering environment.",PC-0018,Database Server,Windows Server 2022,Developer,Engineering,81,16,192.168.107.147,192.168.165.41,United States,svchost.exe,outlook.exe,"svchost.exe (routine execution, no notable arguments)",Not Applicable,3,2,4,0.45,0.53,False Positive,No,Security Tool Noise,IT-managed patch deployment triggered the rule,False Positive,No
A00060,2026-01-06 14:06:18,Firewall,Abnormal Network Traffic,High,"Unusual protocol usage detected on Employee Laptop on PC-0122, involving process outlook.exe.",PC-0122,Employee Laptop,Windows 10,Employee,Sales,14,27,192.168.155.95,10.170.181.213,United States,outlook.exe,winword.exe,outlook.exe (flagged by behavioral detection rule),Not Applicable,0,0,1,0.69,0.26,True Incident,Yes,Data Exfiltration,Malware confirmed by endpoint investigation,True Incident,No
A00061,2026-01-06 14:22:46,EDR,Persistence Mechanism,High,"Registry run-key modification detected on Production Server on PC-0124, on host running Red Hat Enterprise Linux.",PC-0124,Production Server,Red Hat Enterprise Linux,Developer,Engineering,63,27,192.168.106.170,192.168.150.214,India,schtasks.exe,powershell.exe,schtasks.exe /create /tn [redacted] /sc onlogon /ru SYSTEM,Not Applicable,0,0,3,0.35,0.65,True Incident,Yes,Persistence,Phishing payload confirmed malicious,True Incident,No
A00062,2026-01-06 14:47:34,IAM,Suspicious Login,Medium,"Login flagged due to unusual time-of-day pattern on PC-0165, in the Engineering environment.",PC-0165,Database Server,Windows Server 2022,DevOps Engineer,Engineering,86,41,192.168.23.200,192.168.249.64,Australia,chrome.exe,winword.exe,"chrome.exe (routine execution, no notable arguments)",Failed,4,1,2,0.68,0.33,False Positive,No,Security Tool Noise,Expected login behavior,False Positive,No
A00063,2026-01-06 15:36:30,IDS,Suspicious DNS Query,Medium,"DNS query to newly-observed domain from Web Server on PC-0133, per IDS rule set.",PC-0133,Web Server,Ubuntu 24.04,Finance User,Finance,56,25,192.168.77.224,10.153.102.144,Australia,java.exe,winword.exe,"java.exe (routine execution, no notable arguments)",Not Applicable,1,0,4,0.76,0.28,False Positive,No,Benign Activity,Scheduled backup generated the alert,False Positive,No
